start	stop	from	from_ip	server	server_dist (km)	server_ping (ms)	download (Mbit/s)	upload (Mbit/s)	share_url
2018-03-21 09:00:01	2018-03-21 09:00:34	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	25.102	59.21	6.11	http://www.speedtest.net/result/7159078836.png
2018-03-21 09:30:01	2018-03-21 09:30:34	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	24.799	50.17	6.10	http://www.speedtest.net/result/7159156290.png
2018-03-21 10:00:01	2018-03-21 10:00:37	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	25.168	48.60	5.80	http://www.speedtest.net/result/7159237421.png
2018-03-21 10:30:01	2018-03-21 10:30:33	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	24.543	46.54	6.16	http://www.speedtest.net/result/7159321107.png
2018-03-21 11:00:01	2018-03-21 11:00:35	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	28.006	49.32	6.05	http://www.speedtest.net/result/7159405452.png
2018-03-21 11:30:01	2018-03-21 11:30:33	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	28.796	51.88	6.08	http://www.speedtest.net/result/7159489719.png
2018-03-21 12:00:01	2018-03-21 12:00:38	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	22.312	37.49	5.98	http://www.speedtest.net/result/7159574614.png
2018-03-21 12:30:01	2018-03-21 12:30:35	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	29.444	42.28	6.10	http://www.speedtest.net/result/7159659778.png
2018-03-21 13:00:01	2018-03-21 13:00:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	27.793	47.18	6.06	http://www.speedtest.net/result/7159744718.png
2018-03-21 13:30:01	2018-03-21 13:30:35	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	27.158	56.45	6.17	http://www.speedtest.net/result/7159829448.png
2018-03-21 14:00:01	2018-03-21 14:00:35	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	27.716	32.11	6.11	http://www.speedtest.net/result/7159912842.png
2018-03-21 14:30:01	2018-03-21 14:30:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	28.302	50.30	6.18	http://www.speedtest.net/result/7159995424.png
2018-03-21 15:00:01	2018-03-21 15:00:36	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	27.117	41.27	6.09	http://www.speedtest.net/result/7160074928.png
